source;target;recurrence
ils;passent;1
paul;rencontré;1
paul;discutent;1
marie;utilise;1
ils;découvert;1
ils;nommé;1
arbres;semblent;1
max;adore;1
ils;exploraient;1
ils;pris;1
paul;pense;1
marie;averti;1
ils;présenté;1
découvertes;suscité;1
elle;prend;1
elle;dispose;1
elle;regarde;1
été;passe;1
elle;passe;2
elle;préfère;1
marie;aime;1
elle;repose;1
