source;target;recurrence
heures;passent;1
marie;rencontré;1
amie;rencontré;1
similarités;discutent;1
microscope;utilise;1
espèce;découvert;1
oiseau;nommé;1
zone;exploraient;1
échantillons;pris;1
max;approché;1
paul;averti;1
recherches;présenté;1
intérêt;suscité;1
café;prend;1
endroit;prend;1
vase;dispose;1
parc;a;1
soirées;passe;1
heures;passe;1
